rank,model,version,validation_rmse,validation_mae,validation_r2,validation_mape
1,Ridge,v001,64787.47785361487,46246.33782090241,0.680133757870843,28.286901578561523
2,Ridge,v002,64787.47785361487,46246.33782090241,0.680133757870843,28.286901578561523
3,Lasso,v002,64887.43494233497,46300.76369616628,0.6791459878872211,28.599183302180958
4,Lasso,v001,64887.43494233497,46300.76369616628,0.6791459878872211,28.599183302180958
5,LinearRegression,v002,64887.43759422965,46300.76391775423,0.6791459616611555,28.599185876830546
6,LinearRegression,v001,64887.43759422965,46300.76391775423,0.6791459616611555,28.599185876830546
