rank,model,version,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc
1,LogisticRegression,v001,0.8077651515151515,0.6498054474708171,0.5964285714285714,0.6219739292364991,0.8454643777614139
2,LogisticRegression,v002,0.8077651515151515,0.6498054474708171,0.5964285714285714,0.6219739292364991,0.8454643777614139
3,RandomForestClassifier,v002,0.7357954545454546,0.5010706638115632,0.8357142857142857,0.6265060240963856,0.8446474594992636
4,RandomForestClassifier,v001,0.7357954545454546,0.5010706638115632,0.8357142857142857,0.6265060240963856,0.8446474594992636
5,DecisionTreeClassifier,v001,0.75,0.5191387559808612,0.775,0.6217765042979942,0.8386252761413844
6,DecisionTreeClassifier,v002,0.75,0.5191387559808612,0.775,0.6217765042979942,0.8386252761413844
